"Income","Age_Gap","NumChildren","NumDivorce","DiffLanguage","DiffAddress","PreviousImmigrationProblem","CriminalHistory","TooManyChildren","TooLowIncome","TooManyDivorce","BigAgeGap","FraudAlerted"
24743.38,2,1,0,0,0,0,0,0,0,0,0,"False"
37593.99,2,5,0,0,0,0,0,1,0,0,0,"False"
58470.74,1,3,0,0,0,0,0,0,0,0,0,"False"
84189.59,1,0,0,0,0,0,0,0,0,0,0,"False"
20906.02,0,4,0,0,0,0,0,0,0,0,0,"False"
50748.96,2,5,0,0,0,0,0,1,0,0,0,"False"
64417.24,1,3,0,0,0,0,0,0,0,0,0,"False"
34372.1,1,0,0,0,0,0,0,0,0,0,0,"False"
21893.46,2,2,0,0,0,0,0,0,0,0,0,"False"
37766.96,0,1,0,0,0,0,0,0,0,0,0,"False"
14314.51,3,1,0,0,0,0,0,0,1,0,0,"False"
98144.53,2,5,0,0,0,0,0,1,0,0,0,"False"
29677.71,0,4,0,0,0,0,0,0,0,0,0,"False"
41687.66,1,2,0,0,0,0,0,0,0,0,0,"False"
43919.37,24,4,0,0,0,1,0,0,0,0,1,"True"
106275.99,2,2,0,0,0,0,0,0,0,0,0,"False"
64841.64,1,0,0,0,0,0,0,0,0,0,0,"False"
93915.38,0,3,0,0,0,0,0,0,0,0,0,"False"
49555.08,1,1,0,0,0,0,0,0,0,0,0,"False"
42157.95,1,3,0,0,0,0,0,0,0,0,0,"False"
81206.82,0,2,0,0,0,0,0,0,0,0,0,"False"
98884.67,0,0,0,0,0,0,0,0,0,0,0,"False"
57052.16,2,0,0,0,0,0,0,0,0,0,0,"False"
18242.35,1,0,0,0,0,0,0,0,0,0,0,"False"
49170.27,0,0,0,0,0,1,0,0,0,0,0,"False"
107517.05,2,3,0,0,0,0,0,0,0,0,0,"False"
27317.3,1,4,0,0,0,0,0,0,0,0,0,"False"
16280.33,1,0,0,0,0,0,0,0,0,0,0,"False"
17692.55,0,1,0,0,0,0,0,0,0,0,0,"False"
137516.85,0,3,0,0,0,0,0,0,0,0,0,"False"
32952.64,0,3,0,0,0,0,0,0,0,0,0,"False"
68561.13,1,1,0,0,0,0,0,0,0,0,0,"False"
88412.33,1,2,0,0,0,0,0,0,0,0,0,"False"
58078.98,0,2,0,0,0,0,0,0,0,0,0,"False"
38861.54,1,3,0,0,0,0,0,0,0,0,0,"False"
64410.63,0,0,0,0,0,0,0,0,0,0,0,"False"
43122.43,1,3,0,0,0,0,0,0,0,0,0,"False"
63280.52,0,3,0,0,0,0,0,0,0,0,0,"False"
13658.23,1,4,0,0,0,0,0,0,1,0,0,"True"
56076.35,2,3,0,0,0,0,0,0,0,0,0,"False"
56890.08,1,0,0,0,0,0,0,0,0,0,0,"False"
75021.19,1,3,0,0,0,0,0,0,0,0,0,"False"
47953.05,1,4,0,0,0,0,0,0,0,0,0,"False"
114766.51,1,5,0,0,0,0,0,1,0,0,0,"False"
37022.39,1,3,0,0,0,0,0,0,0,0,0,"False"
49189.15,2,0,0,0,0,0,0,0,0,0,0,"False"
72679.1,1,1,0,0,0,0,0,0,0,0,0,"False"
76986.06,0,3,0,0,0,0,0,0,0,0,0,"False"
26164.17,0,1,0,0,0,0,0,0,0,0,0,"False"
90824.73,1,0,0,0,0,0,0,0,0,0,0,"False"
37237.8,0,3,0,0,0,0,0,0,0,0,0,"False"
57544.93,1,0,0,0,0,0,0,0,0,0,0,"False"
78378.12,1,1,0,0,0,0,0,0,0,0,0,"False"
11787.2,1,1,0,0,0,0,0,0,1,0,0,"False"
93057.14,0,3,0,0,0,0,1,0,0,0,0,"True"
49097.71,0,1,0,0,0,0,0,0,0,0,0,"False"
21784.84,3,3,0,0,0,1,1,0,0,0,0,"True"
19045.51,1,3,0,0,0,0,0,0,0,0,0,"False"
37476.32,0,1,0,0,0,0,0,0,0,0,0,"False"
31632.6,1,2,0,0,0,0,0,0,0,0,0,"False"
14955.88,1,2,0,0,0,0,0,0,1,0,0,"False"
56313.27,1,3,0,0,0,1,0,0,0,0,0,"False"
55610.9,1,4,0,0,0,0,0,0,0,0,0,"False"
30014.97,1,0,0,0,0,0,0,0,0,0,0,"False"
47764.49,2,2,0,0,0,0,0,0,0,0,0,"False"
11730.81,0,3,0,0,0,1,0,0,1,0,0,"True"
25776.06,1,2,0,0,0,0,0,0,0,0,0,"False"
45197.86,0,1,0,0,0,0,0,0,0,0,0,"False"
45724.09,0,1,0,0,0,0,0,0,0,0,0,"False"
17570.18,1,3,0,0,0,0,0,0,0,0,0,"False"
22520.5,0,2,0,0,0,0,0,0,0,0,0,"False"
62623.01,1,5,0,0,0,0,0,1,0,0,0,"False"
50938.75,1,1,0,0,0,0,0,0,0,0,0,"False"
11089.27,0,1,0,0,0,0,0,0,1,0,0,"False"
52379,1,1,0,0,0,0,0,0,0,0,0,"False"
29851.69,0,3,0,0,0,0,0,0,0,0,0,"False"
20926.53,0,2,0,0,0,0,0,0,0,0,0,"False"
12906.47,0,2,0,0,0,1,0,0,1,0,0,"False"
50564.21,1,5,0,0,0,0,0,1,0,0,0,"False"
68129.89,16,4,0,0,0,1,0,0,0,0,1,"True"
34703.92,0,2,0,0,0,0,0,0,0,0,0,"False"
22993.83,1,4,0,0,0,0,0,0,0,0,0,"False"
72667.84,3,2,0,0,0,0,0,0,0,0,0,"False"
126322.71,0,6,0,0,0,0,0,1,0,0,0,"False"
48286.01,1,0,0,0,0,0,0,0,0,0,0,"False"
88937.66,0,1,0,0,0,0,0,0,0,0,0,"False"
7057.19,1,5,0,0,0,0,0,1,1,0,0,"True"
38161.91,2,2,0,0,0,0,0,0,0,0,0,"False"
63119.54,2,1,0,0,0,0,0,0,0,0,0,"False"
38768.37,1,0,0,0,0,0,0,0,0,0,0,"False"
70331.31,1,2,0,0,0,0,0,0,0,0,0,"False"
62421.99,1,2,0,0,0,0,0,0,0,0,0,"False"
35208.46,2,3,0,0,0,0,0,0,0,0,0,"False"
34665.26,0,0,0,0,0,0,0,0,0,0,0,"False"
49778.1,0,2,0,0,0,0,0,0,0,0,0,"False"
74781.72,1,2,0,0,0,0,0,0,0,0,0,"False"
11255.51,1,1,0,0,0,1,0,0,1,0,0,"False"
26150.37,1,2,0,0,0,0,0,0,0,0,0,"False"
42307.68,1,2,0,0,0,0,0,0,0,0,0,"False"
45730.11,1,2,0,0,0,0,0,0,0,0,0,"False"
59425.85,0,1,0,0,0,0,0,0,0,0,0,"False"
81426.3,2,1,0,0,0,0,0,0,0,0,0,"False"
70095.31,0,6,0,0,0,0,0,1,0,0,0,"False"
21957.84,1,2,0,0,0,0,0,0,0,0,0,"False"
14360.39,1,2,0,0,0,0,0,0,1,0,0,"False"
74022.73,1,0,0,0,0,0,0,0,0,0,0,"False"
92215.04,0,3,0,0,0,0,0,0,0,0,0,"False"
45616.93,2,3,0,0,0,0,0,0,0,0,0,"False"
22555.93,2,3,0,0,0,0,0,0,0,0,0,"False"
47797.45,1,0,0,0,0,0,0,0,0,0,0,"False"
23028.69,0,0,0,0,0,0,0,0,0,0,0,"False"
67406.9,1,2,0,0,0,0,0,0,0,0,0,"False"
16517.24,1,1,0,0,0,0,1,0,0,0,0,"True"
1190.19,0,0,0,0,0,1,1,0,1,0,0,"True"
76795.99,3,3,0,0,0,0,0,0,0,0,0,"False"
49733.51,1,0,0,0,0,0,0,0,0,0,0,"False"
49302.56,1,3,0,0,0,0,0,0,0,0,0,"False"
65291.13,0,5,0,0,0,0,0,1,0,0,0,"False"
66035.84,1,1,0,0,0,0,0,0,0,0,0,"False"
82154.75,1,3,0,0,0,0,0,0,0,0,0,"False"
44190.96,1,4,0,0,0,0,0,0,0,0,0,"False"
84574.08,0,2,0,0,0,0,0,0,0,0,0,"False"
59796.3,1,1,0,0,0,0,0,0,0,0,0,"False"
14872.64,1,1,0,0,0,0,0,0,1,0,0,"False"
89197.44,1,1,0,0,0,0,0,0,0,0,0,"False"
23231.45,22,1,0,1,0,0,0,0,0,0,1,"True"
94450.75,1,2,0,0,0,0,0,0,0,0,0,"False"
35385.64,1,2,0,0,0,0,0,0,0,0,0,"False"
53397.55,1,3,0,0,0,0,0,0,0,0,0,"False"
40642.5,1,4,0,0,0,0,0,0,0,0,0,"False"
46212.52,1,0,0,0,0,0,0,0,0,0,0,"False"
18296.37,0,2,0,0,0,0,0,0,0,0,0,"False"
18808.27,1,4,0,0,0,0,0,0,0,0,0,"False"
33663.1,1,3,0,0,0,0,0,0,0,0,0,"False"
90837.57,2,1,0,0,0,0,0,0,0,0,0,"False"
52542.61,1,0,0,0,0,0,0,0,0,0,0,"False"
50842.79,2,2,0,0,0,0,0,0,0,0,0,"False"
65328.33,1,0,0,0,0,0,0,0,0,0,0,"False"
35839.82,0,1,0,0,0,0,0,0,0,0,0,"False"
31187.14,0,0,0,0,0,0,0,0,0,0,0,"False"
47574.16,1,2,0,0,0,0,0,0,0,0,0,"False"
27258.59,0,0,0,0,0,0,0,0,0,0,0,"False"
40630.73,1,5,0,0,0,0,0,1,0,0,0,"False"
35564.3,0,3,0,0,0,0,0,0,0,0,0,"False"
23033.44,0,0,0,0,0,0,0,0,0,0,0,"False"
43280.95,1,4,0,0,0,0,0,0,0,0,0,"False"
47487.75,0,0,0,0,0,0,0,0,0,0,0,"False"
87614.6,1,1,0,0,0,0,0,0,0,0,0,"False"
59981.99,1,1,0,0,0,0,0,0,0,0,0,"False"
96673.07,0,1,0,0,0,0,0,0,0,0,0,"False"
119550.7,1,2,0,0,0,0,0,0,0,0,0,"False"
54216.6,1,3,0,0,0,0,0,0,0,0,0,"False"
95074.68,1,1,0,0,0,0,0,0,0,0,0,"False"
14919.55,0,2,0,0,0,0,0,0,1,0,0,"False"
71480.84,2,4,0,0,0,0,0,0,0,0,0,"False"
70439.02,1,3,0,0,0,0,0,0,0,0,0,"False"
43157.89,0,0,0,0,0,0,0,0,0,0,0,"False"
86187.98,1,3,0,0,0,0,0,0,0,0,0,"False"
83543.36,0,2,0,0,0,0,0,0,0,0,0,"False"
114109.5,1,6,0,0,0,0,0,1,0,0,0,"False"
18677.94,1,4,0,0,0,0,0,0,0,0,0,"False"
41960.08,1,2,0,0,0,0,0,0,0,0,0,"False"
68341.23,0,3,0,0,0,0,0,0,0,0,0,"False"
